Death.Month,Age.Group,Sex,Condition,Total.Deaths
5,<18 years,Male (M),COVID-19,12
5,18-29 years,Female (F),C19+Chronic.Lower.Resp.Disease,0
5,18-29 years,Female (F),C19+Diabetes,4
5,18-29 years,Female (F),C19+Hypertensive.Diseases,2
5,18-29 years,Female (F),C19+Hypertensive+MCVD,11
5,18-29 years,Female (F),C19+Kidney.Disease,4
5,18-29 years,Female (F),C19+MCVD,11
5,18-29 years,Female (F),C19+Obesity,6
5,18-29 years,Female (F),COVID-19,37
5,18-29 years,Male (M),C19+Chronic.Lower.Resp.Disease,2
5,18-29 years,Male (M),C19+Diabetes,9
5,18-29 years,Male (M),C19+Hypertensive.Diseases,5
5,18-29 years,Male (M),C19+Hypertensive+MCVD,25
5,18-29 years,Male (M),C19+Kidney.Disease,4
5,18-29 years,Male (M),C19+MCVD,25
5,18-29 years,Male (M),C19+Obesity,16
5,18-29 years,Male (M),COVID-19,86
5,30-39 years,Female (F),C19+Chronic.Lower.Resp.Disease,6
5,30-39 years,Female (F),C19+Diabetes,17
5,30-39 years,Female (F),C19+Hypertensive.Diseases,12
5,30-39 years,Female (F),C19+Hypertensive+MCVD,41
5,30-39 years,Female (F),C19+Kidney.Disease,9
5,30-39 years,Female (F),C19+MCVD,41
5,30-39 years,Female (F),C19+Obesity,31
5,30-39 years,Female (F),COVID-19,102
5,30-39 years,Male (M),C19+Chronic.Lower.Resp.Disease,9
5,30-39 years,Male (M),C19+Diabetes,33
5,30-39 years,Male (M),C19+Hypertensive.Diseases,24
5,30-39 years,Male (M),C19+Hypertensive+MCVD,71
5,30-39 years,Male (M),C19+Kidney.Disease,21
5,30-39 years,Male (M),C19+MCVD,71
5,30-39 years,Male (M),C19+Obesity,45
5,30-39 years,Male (M),COVID-19,250
5,40-49 years,Female (F),C19+Chronic.Lower.Resp.Disease,23
5,40-49 years,Female (F),C19+Diabetes,53
5,40-49 years,Female (F),C19+Hypertensive.Diseases,46
5,40-49 years,Female (F),C19+Hypertensive+MCVD,104
5,40-49 years,Female (F),C19+Kidney.Disease,25
5,40-49 years,Female (F),C19+MCVD,104
5,40-49 years,Female (F),C19+Obesity,45
5,40-49 years,Female (F),COVID-19,286
5,40-49 years,Male (M),C19+Chronic.Lower.Resp.Disease,22
5,40-49 years,Male (M),C19+Diabetes,131
5,40-49 years,Male (M),C19+Hypertensive.Diseases,111
5,40-49 years,Male (M),C19+Hypertensive+MCVD,247
5,40-49 years,Male (M),C19+Kidney.Disease,69
5,40-49 years,Male (M),C19+MCVD,247
5,40-49 years,Male (M),C19+Obesity,88
5,40-49 years,Male (M),COVID-19,686
5,50-59 years,Female (F),C19+Chronic.Lower.Resp.Disease,87
5,50-59 years,Female (F),C19+Diabetes,178
5,50-59 years,Female (F),C19+Hypertensive.Diseases,169
5,50-59 years,Female (F),C19+Hypertensive+MCVD,373
5,50-59 years,Female (F),C19+Kidney.Disease,83
5,50-59 years,Female (F),C19+MCVD,373
5,50-59 years,Female (F),C19+Obesity,87
5,50-59 years,Female (F),COVID-19,852
5,50-59 years,Male (M),C19+Chronic.Lower.Resp.Disease,72
5,50-59 years,Male (M),C19+Diabetes,336
5,50-59 years,Male (M),C19+Hypertensive.Diseases,342
5,50-59 years,Male (M),C19+Hypertensive+MCVD,787
5,50-59 years,Male (M),C19+Kidney.Disease,208
5,50-59 years,Male (M),C19+MCVD,787
5,50-59 years,Male (M),C19+Obesity,125
5,50-59 years,Male (M),COVID-19,1792
5,60-69 years,Female (F),C19+Chronic.Lower.Resp.Disease,253
5,60-69 years,Female (F),C19+Diabetes,419
5,60-69 years,Female (F),C19+Hypertensive.Diseases,448
5,60-69 years,Female (F),C19+Hypertensive+MCVD,950
5,60-69 years,Female (F),C19+Kidney.Disease,177
5,60-69 years,Female (F),C19+MCVD,950
5,60-69 years,Female (F),C19+Obesity,141
5,60-69 years,Female (F),COVID-19,2117
5,60-69 years,Male (M),C19+Chronic.Lower.Resp.Disease,292
5,60-69 years,Male (M),C19+Diabetes,668
5,60-69 years,Male (M),C19+Hypertensive.Diseases,746
5,60-69 years,Male (M),C19+Hypertensive+MCVD,1638
5,60-69 years,Male (M),C19+Kidney.Disease,382
5,60-69 years,Male (M),C19+MCVD,1638
5,60-69 years,Male (M),C19+Obesity,114
5,60-69 years,Male (M),COVID-19,3652
5,70-79 years,Female (F),C19+Chronic.Lower.Resp.Disease,404
5,70-79 years,Female (F),C19+Diabetes,581
5,70-79 years,Female (F),C19+Hypertensive.Diseases,730
5,70-79 years,Female (F),C19+Hypertensive+MCVD,1583
5,70-79 years,Female (F),C19+Kidney.Disease,278
5,70-79 years,Female (F),C19+MCVD,1583
5,70-79 years,Female (F),C19+Obesity,89
5,70-79 years,Female (F),COVID-19,3548
5,70-79 years,Male (M),C19+Chronic.Lower.Resp.Disease,474
5,70-79 years,Male (M),C19+Diabetes,846
5,70-79 years,Male (M),C19+Hypertensive.Diseases,1041
5,70-79 years,Male (M),C19+Hypertensive+MCVD,2276
5,70-79 years,Male (M),C19+Kidney.Disease,516
5,70-79 years,Male (M),C19+MCVD,2276
5,70-79 years,Male (M),C19+Obesity,96
5,70-79 years,Male (M),COVID-19,4826
5,80+ years,Female (F),C19+Chronic.Lower.Resp.Disease,844
5,80+ years,Female (F),C19+Diabetes,1095
5,80+ years,Female (F),C19+Hypertensive.Diseases,2337
5,80+ years,Female (F),C19+Hypertensive+MCVD,4964
5,80+ years,Female (F),C19+Kidney.Disease,615
5,80+ years,Female (F),C19+MCVD,4964
5,80+ years,Female (F),C19+Obesity,69
5,80+ years,Female (F),COVID-19,10778
5,80+ years,Male (M),C19+Chronic.Lower.Resp.Disease,648
5,80+ years,Male (M),C19+Diabetes,868
5,80+ years,Male (M),C19+Hypertensive.Diseases,1572
5,80+ years,Male (M),C19+Hypertensive+MCVD,3445
5,80+ years,Male (M),C19+Kidney.Disease,578
5,80+ years,Male (M),C19+MCVD,3445
5,80+ years,Male (M),C19+Obesity,31
5,80+ years,Male (M),COVID-19,6958
6,<18 years,Female (F),C19+Chronic.Lower.Resp.Disease,1
6,<18 years,Female (F),C19+Diabetes,0
6,<18 years,Female (F),C19+Hypertensive.Diseases,0
6,<18 years,Female (F),C19+Hypertensive+MCVD,0
6,<18 years,Female (F),C19+Kidney.Disease,0
6,<18 years,Female (F),C19+MCVD,0
6,<18 years,Female (F),C19+Obesity,1
6,<18 years,Female (F),COVID-19,7
6,<18 years,Male (M),C19+Chronic.Lower.Resp.Disease,0
6,<18 years,Male (M),C19+Diabetes,0
6,<18 years,Male (M),C19+Hypertensive.Diseases,0
6,<18 years,Male (M),C19+Hypertensive+MCVD,4
6,<18 years,Male (M),C19+Kidney.Disease,1
6,<18 years,Male (M),C19+MCVD,4
6,<18 years,Male (M),C19+Obesity,1
6,<18 years,Male (M),COVID-19,11
6,18-29 years,Female (F),C19+Chronic.Lower.Resp.Disease,2
6,18-29 years,Female (F),C19+Diabetes,7
6,18-29 years,Female (F),C19+Hypertensive.Diseases,1
6,18-29 years,Female (F),C19+Hypertensive+MCVD,9
6,18-29 years,Female (F),C19+Kidney.Disease,0
6,18-29 years,Female (F),C19+MCVD,9
6,18-29 years,Female (F),C19+Obesity,12
6,18-29 years,Female (F),COVID-19,43
6,18-29 years,Male (M),C19+Chronic.Lower.Resp.Disease,7
6,18-29 years,Male (M),C19+Diabetes,4
6,18-29 years,Male (M),C19+Hypertensive.Diseases,3
6,18-29 years,Male (M),C19+Hypertensive+MCVD,14
6,18-29 years,Male (M),C19+Kidney.Disease,4
6,18-29 years,Male (M),C19+MCVD,14
6,18-29 years,Male (M),C19+Obesity,13
6,18-29 years,Male (M),COVID-19,58
6,30-39 years,Female (F),C19+Chronic.Lower.Resp.Disease,2
6,30-39 years,Female (F),C19+Diabetes,18
6,30-39 years,Female (F),C19+Hypertensive.Diseases,4
6,30-39 years,Female (F),C19+Hypertensive+MCVD,32
6,30-39 years,Female (F),C19+Kidney.Disease,8
6,30-39 years,Female (F),C19+MCVD,32
6,30-39 years,Female (F),C19+Obesity,29
6,30-39 years,Female (F),COVID-19,101
6,30-39 years,Male (M),C19+Chronic.Lower.Resp.Disease,5
6,30-39 years,Male (M),C19+Diabetes,32
6,30-39 years,Male (M),C19+Hypertensive.Diseases,25
6,30-39 years,Male (M),C19+Hypertensive+MCVD,66
6,30-39 years,Male (M),C19+Kidney.Disease,17
6,30-39 years,Male (M),C19+MCVD,66
6,30-39 years,Male (M),C19+Obesity,40
6,30-39 years,Male (M),COVID-19,184
6,40-49 years,Female (F),C19+Chronic.Lower.Resp.Disease,11
6,40-49 years,Female (F),C19+Diabetes,48
6,40-49 years,Female (F),C19+Hypertensive.Diseases,32
6,40-49 years,Female (F),C19+Hypertensive+MCVD,85
6,40-49 years,Female (F),C19+Kidney.Disease,24
6,40-49 years,Female (F),C19+MCVD,85
6,40-49 years,Female (F),C19+Obesity,42
6,40-49 years,Female (F),COVID-19,214
6,40-49 years,Male (M),C19+Chronic.Lower.Resp.Disease,12
6,40-49 years,Male (M),C19+Diabetes,84
6,40-49 years,Male (M),C19+Hypertensive.Diseases,73
6,40-49 years,Male (M),C19+Hypertensive+MCVD,172
6,40-49 years,Male (M),C19+Kidney.Disease,45
6,40-49 years,Male (M),C19+MCVD,172
6,40-49 years,Male (M),C19+Obesity,70
6,40-49 years,Male (M),COVID-19,461
6,50-59 years,Female (F),C19+Chronic.Lower.Resp.Disease,47
6,50-59 years,Female (F),C19+Diabetes,138
6,50-59 years,Female (F),C19+Hypertensive.Diseases,111
6,50-59 years,Female (F),C19+Hypertensive+MCVD,260
6,50-59 years,Female (F),C19+Kidney.Disease,58
6,50-59 years,Female (F),C19+MCVD,260
6,50-59 years,Female (F),C19+Obesity,62
6,50-59 years,Female (F),COVID-19,577
6,50-59 years,Male (M),C19+Chronic.Lower.Resp.Disease,37
6,50-59 years,Male (M),C19+Diabetes,237
6,50-59 years,Male (M),C19+Hypertensive.Diseases,201
6,50-59 years,Male (M),C19+Hypertensive+MCVD,455
6,50-59 years,Male (M),C19+Kidney.Disease,130
6,50-59 years,Male (M),C19+MCVD,455
6,50-59 years,Male (M),C19+Obesity,92
6,50-59 years,Male (M),COVID-19,1087
6,60-69 years,Female (F),C19+Chronic.Lower.Resp.Disease,115
6,60-69 years,Female (F),C19+Diabetes,266
6,60-69 years,Female (F),C19+Hypertensive.Diseases,255
6,60-69 years,Female (F),C19+Hypertensive+MCVD,504
6,60-69 years,Female (F),C19+Kidney.Disease,116
6,60-69 years,Female (F),C19+MCVD,504
6,60-69 years,Female (F),C19+Obesity,99
6,60-69 years,Female (F),COVID-19,1115
6,60-69 years,Male (M),C19+Chronic.Lower.Resp.Disease,151
6,60-69 years,Male (M),C19+Diabetes,442
6,60-69 years,Male (M),C19+Hypertensive.Diseases,436
6,60-69 years,Male (M),C19+Hypertensive+MCVD,937
6,60-69 years,Male (M),C19+Kidney.Disease,243
6,60-69 years,Male (M),C19+MCVD,937
6,60-69 years,Male (M),C19+Obesity,72
6,60-69 years,Male (M),COVID-19,1907
6,70-79 years,Female (F),C19+Chronic.Lower.Resp.Disease,202
6,70-79 years,Female (F),C19+Diabetes,352
6,70-79 years,Female (F),C19+Hypertensive.Diseases,424
6,70-79 years,Female (F),C19+Hypertensive+MCVD,890
6,70-79 years,Female (F),C19+Kidney.Disease,171
6,70-79 years,Female (F),C19+MCVD,890
6,70-79 years,Female (F),C19+Obesity,77
6,70-79 years,Female (F),COVID-19,1801
6,70-79 years,Male (M),C19+Chronic.Lower.Resp.Disease,219
6,70-79 years,Male (M),C19+Diabetes,485
6,70-79 years,Male (M),C19+Hypertensive.Diseases,542
6,70-79 years,Male (M),C19+Hypertensive+MCVD,1154
6,70-79 years,Male (M),C19+Kidney.Disease,256
6,70-79 years,Male (M),C19+MCVD,1154
6,70-79 years,Male (M),C19+Obesity,60
6,70-79 years,Male (M),COVID-19,2377
6,80+ years,Female (F),C19+Chronic.Lower.Resp.Disease,392
6,80+ years,Female (F),C19+Diabetes,527
6,80+ years,Female (F),C19+Hypertensive.Diseases,1156
6,80+ years,Female (F),C19+Hypertensive+MCVD,2324
6,80+ years,Female (F),C19+Kidney.Disease,307
6,80+ years,Female (F),C19+MCVD,2324
6,80+ years,Female (F),C19+Obesity,33
6,80+ years,Female (F),COVID-19,4568
6,80+ years,Male (M),C19+Chronic.Lower.Resp.Disease,302
6,80+ years,Male (M),C19+Diabetes,441
6,80+ years,Male (M),C19+Hypertensive.Diseases,731
6,80+ years,Male (M),C19+Hypertensive+MCVD,1645
6,80+ years,Male (M),C19+Kidney.Disease,298
6,80+ years,Male (M),C19+MCVD,1645
6,80+ years,Male (M),C19+Obesity,18
6,80+ years,Male (M),COVID-19,3163
7,<18 years,Female (F),C19+Chronic.Lower.Resp.Disease,1
7,<18 years,Female (F),C19+Diabetes,0
7,<18 years,Female (F),C19+Hypertensive.Diseases,0
7,<18 years,Female (F),C19+Hypertensive+MCVD,1
7,<18 years,Female (F),C19+Kidney.Disease,0
7,<18 years,Female (F),C19+MCVD,1
7,<18 years,Female (F),C19+Obesity,1
7,<18 years,Female (F),COVID-19,9
7,<18 years,Male (M),C19+Chronic.Lower.Resp.Disease,0
7,<18 years,Male (M),C19+Diabetes,0
7,<18 years,Male (M),C19+Hypertensive.Diseases,0
7,<18 years,Male (M),C19+Hypertensive+MCVD,3
7,<18 years,Male (M),C19+Kidney.Disease,0
7,<18 years,Male (M),C19+MCVD,3
7,<18 years,Male (M),C19+Obesity,2
7,<18 years,Male (M),COVID-19,16
7,18-29 years,Female (F),C19+Chronic.Lower.Resp.Disease,5
7,18-29 years,Female (F),C19+Diabetes,10
7,18-29 years,Female (F),C19+Hypertensive.Diseases,3
7,18-29 years,Female (F),C19+Hypertensive+MCVD,18
7,18-29 years,Female (F),C19+Kidney.Disease,8
7,18-29 years,Female (F),C19+MCVD,18
7,18-29 years,Female (F),C19+Obesity,21
7,18-29 years,Female (F),COVID-19,83
7,18-29 years,Male (M),C19+Chronic.Lower.Resp.Disease,8
7,18-29 years,Male (M),C19+Diabetes,23
7,18-29 years,Male (M),C19+Hypertensive.Diseases,12
7,18-29 years,Male (M),C19+Hypertensive+MCVD,42
7,18-29 years,Male (M),C19+Kidney.Disease,9
7,18-29 years,Male (M),C19+MCVD,42
7,18-29 years,Male (M),C19+Obesity,48
7,18-29 years,Male (M),COVID-19,137
7,30-39 years,Female (F),C19+Chronic.Lower.Resp.Disease,14
7,30-39 years,Female (F),C19+Diabetes,48
7,30-39 years,Female (F),C19+Hypertensive.Diseases,33
7,30-39 years,Female (F),C19+Hypertensive+MCVD,70
7,30-39 years,Female (F),C19+Kidney.Disease,14
7,30-39 years,Female (F),C19+MCVD,70
7,30-39 years,Female (F),C19+Obesity,58
7,30-39 years,Female (F),COVID-19,183
7,30-39 years,Male (M),C19+Chronic.Lower.Resp.Disease,13
7,30-39 years,Male (M),C19+Diabetes,42
7,30-39 years,Male (M),C19+Hypertensive.Diseases,34
7,30-39 years,Male (M),C19+Hypertensive+MCVD,120
7,30-39 years,Male (M),C19+Kidney.Disease,40
7,30-39 years,Male (M),C19+MCVD,120
7,30-39 years,Male (M),C19+Obesity,97
7,30-39 years,Male (M),COVID-19,358
7,40-49 years,Female (F),C19+Chronic.Lower.Resp.Disease,27
7,40-49 years,Female (F),C19+Diabetes,126
7,40-49 years,Female (F),C19+Hypertensive.Diseases,91
7,40-49 years,Female (F),C19+Hypertensive+MCVD,179
7,40-49 years,Female (F),C19+Kidney.Disease,43
7,40-49 years,Female (F),C19+MCVD,179
7,40-49 years,Female (F),C19+Obesity,119
7,40-49 years,Female (F),COVID-19,437
7,40-49 years,Male (M),C19+Chronic.Lower.Resp.Disease,25
7,40-49 years,Male (M),C19+Diabetes,186
7,40-49 years,Male (M),C19+Hypertensive.Diseases,179
7,40-49 years,Male (M),C19+Hypertensive+MCVD,353
7,40-49 years,Male (M),C19+Kidney.Disease,92
7,40-49 years,Male (M),C19+MCVD,353
7,40-49 years,Male (M),C19+Obesity,175
7,40-49 years,Male (M),COVID-19,867
7,50-59 years,Female (F),C19+Chronic.Lower.Resp.Disease,78
7,50-59 years,Female (F),C19+Diabetes,277
7,50-59 years,Female (F),C19+Hypertensive.Diseases,236
7,50-59 years,Female (F),C19+Hypertensive+MCVD,489
7,50-59 years,Female (F),C19+Kidney.Disease,117
7,50-59 years,Female (F),C19+MCVD,489
7,50-59 years,Female (F),C19+Obesity,169
7,50-59 years,Female (F),COVID-19,1059
7,50-59 years,Male (M),C19+Chronic.Lower.Resp.Disease,82
7,50-59 years,Male (M),C19+Diabetes,504
7,50-59 years,Male (M),C19+Hypertensive.Diseases,471
7,50-59 years,Male (M),C19+Hypertensive+MCVD,900
7,50-59 years,Male (M),C19+Kidney.Disease,204
7,50-59 years,Male (M),C19+MCVD,900
7,50-59 years,Male (M),C19+Obesity,250
7,50-59 years,Male (M),COVID-19,1974
7,60-69 years,Female (F),C19+Chronic.Lower.Resp.Disease,220
7,60-69 years,Female (F),C19+Diabetes,612
7,60-69 years,Female (F),C19+Hypertensive.Diseases,556
7,60-69 years,Female (F),C19+Hypertensive+MCVD,1002
7,60-69 years,Female (F),C19+Kidney.Disease,237
7,60-69 years,Female (F),C19+MCVD,1002
7,60-69 years,Female (F),C19+Obesity,222
7,60-69 years,Female (F),COVID-19,2190
7,60-69 years,Male (M),C19+Chronic.Lower.Resp.Disease,267
7,60-69 years,Male (M),C19+Diabetes,895
7,60-69 years,Male (M),C19+Hypertensive.Diseases,940
7,60-69 years,Male (M),C19+Hypertensive+MCVD,1798
7,60-69 years,Male (M),C19+Kidney.Disease,450
7,60-69 years,Male (M),C19+MCVD,1798
7,60-69 years,Male (M),C19+Obesity,243
7,60-69 years,Male (M),COVID-19,3570
7,70-79 years,Female (F),C19+Chronic.Lower.Resp.Disease,400
7,70-79 years,Female (F),C19+Diabetes,722
7,70-79 years,Female (F),C19+Hypertensive.Diseases,843
7,70-79 years,Female (F),C19+Hypertensive+MCVD,1594
7,70-79 years,Female (F),C19+Kidney.Disease,308
7,70-79 years,Female (F),C19+MCVD,1594
7,70-79 years,Female (F),C19+Obesity,186
7,70-79 years,Female (F),COVID-19,3114
7,70-79 years,Male (M),C19+Chronic.Lower.Resp.Disease,481
7,70-79 years,Male (M),C19+Diabetes,1080
7,70-79 years,Male (M),C19+Hypertensive.Diseases,1235
7,70-79 years,Male (M),C19+Hypertensive+MCVD,2359
7,70-79 years,Male (M),C19+Kidney.Disease,504
7,70-79 years,Male (M),C19+MCVD,2359
7,70-79 years,Male (M),C19+Obesity,152
7,70-79 years,Male (M),COVID-19,4581
7,80+ years,Female (F),C19+Chronic.Lower.Resp.Disease,661
7,80+ years,Female (F),C19+Diabetes,895
7,80+ years,Female (F),C19+Hypertensive.Diseases,1825
7,80+ years,Female (F),C19+Hypertensive+MCVD,3324
7,80+ years,Female (F),C19+Kidney.Disease,413
7,80+ years,Female (F),C19+MCVD,3324
7,80+ years,Female (F),C19+Obesity,93
7,80+ years,Female (F),COVID-19,6410
7,80+ years,Male (M),C19+Chronic.Lower.Resp.Disease,654
7,80+ years,Male (M),C19+Diabetes,969
7,80+ years,Male (M),C19+Hypertensive.Diseases,1590
7,80+ years,Male (M),C19+Hypertensive+MCVD,3087
7,80+ years,Male (M),C19+Kidney.Disease,496
7,80+ years,Male (M),C19+MCVD,3087
7,80+ years,Male (M),C19+Obesity,50
7,80+ years,Male (M),COVID-19,5675
8,<18 years,Female (F),C19+Chronic.Lower.Resp.Disease,0
8,<18 years,Female (F),C19+Diabetes,1
8,<18 years,Female (F),C19+Hypertensive.Diseases,0
8,<18 years,Female (F),C19+Hypertensive+MCVD,4
8,<18 years,Female (F),C19+Kidney.Disease,1
8,<18 years,Female (F),C19+MCVD,4
8,<18 years,Female (F),C19+Obesity,1
8,<18 years,Female (F),COVID-19,8
8,<18 years,Male (M),C19+Chronic.Lower.Resp.Disease,1
8,<18 years,Male (M),C19+Diabetes,1
8,<18 years,Male (M),C19+Hypertensive.Diseases,0
8,<18 years,Male (M),C19+Hypertensive+MCVD,3
8,<18 years,Male (M),C19+Kidney.Disease,0
8,<18 years,Male (M),C19+MCVD,3
8,<18 years,Male (M),C19+Obesity,0
8,<18 years,Male (M),COVID-19,6
8,18-29 years,Female (F),C19+Chronic.Lower.Resp.Disease,4
8,18-29 years,Female (F),C19+Diabetes,8
8,18-29 years,Female (F),C19+Hypertensive.Diseases,3
8,18-29 years,Female (F),C19+Hypertensive+MCVD,15
8,18-29 years,Female (F),C19+Kidney.Disease,5
8,18-29 years,Female (F),C19+MCVD,15
8,18-29 years,Female (F),C19+Obesity,9
8,18-29 years,Female (F),COVID-19,48
8,18-29 years,Male (M),C19+Chronic.Lower.Resp.Disease,5
8,18-29 years,Male (M),C19+Diabetes,10
8,18-29 years,Male (M),C19+Hypertensive.Diseases,10
8,18-29 years,Male (M),C19+Hypertensive+MCVD,24
8,18-29 years,Male (M),C19+Kidney.Disease,13
8,18-29 years,Male (M),C19+MCVD,24
8,18-29 years,Male (M),C19+Obesity,21
8,18-29 years,Male (M),COVID-19,80
8,30-39 years,Female (F),C19+Chronic.Lower.Resp.Disease,11
8,30-39 years,Female (F),C19+Diabetes,17
8,30-39 years,Female (F),C19+Hypertensive.Diseases,15
8,30-39 years,Female (F),C19+Hypertensive+MCVD,43
8,30-39 years,Female (F),C19+Kidney.Disease,13
8,30-39 years,Female (F),C19+MCVD,43
8,30-39 years,Female (F),C19+Obesity,20
8,30-39 years,Female (F),COVID-19,135
8,30-39 years,Male (M),C19+Chronic.Lower.Resp.Disease,7
8,30-39 years,Male (M),C19+Diabetes,35
8,30-39 years,Male (M),C19+Hypertensive.Diseases,25
8,30-39 years,Male (M),C19+Hypertensive+MCVD,86
8,30-39 years,Male (M),C19+Kidney.Disease,26
8,30-39 years,Male (M),C19+MCVD,86
8,30-39 years,Male (M),C19+Obesity,48
8,30-39 years,Male (M),COVID-19,222
8,40-49 years,Female (F),C19+Chronic.Lower.Resp.Disease,25
8,40-49 years,Female (F),C19+Diabetes,85
8,40-49 years,Female (F),C19+Hypertensive.Diseases,50
8,40-49 years,Female (F),C19+Hypertensive+MCVD,119
8,40-49 years,Female (F),C19+Kidney.Disease,46
8,40-49 years,Female (F),C19+MCVD,119
8,40-49 years,Female (F),C19+Obesity,62
8,40-49 years,Female (F),COVID-19,370
8,40-49 years,Male (M),C19+Chronic.Lower.Resp.Disease,19
8,40-49 years,Male (M),C19+Diabetes,158
8,40-49 years,Male (M),C19+Hypertensive.Diseases,106
8,40-49 years,Male (M),C19+Hypertensive+MCVD,254
8,40-49 years,Male (M),C19+Kidney.Disease,77
8,40-49 years,Male (M),C19+MCVD,254
8,40-49 years,Male (M),C19+Obesity,119
8,40-49 years,Male (M),COVID-19,695
8,50-59 years,Female (F),C19+Chronic.Lower.Resp.Disease,64
8,50-59 years,Female (F),C19+Diabetes,221
8,50-59 years,Female (F),C19+Hypertensive.Diseases,189
8,50-59 years,Female (F),C19+Hypertensive+MCVD,404
8,50-59 years,Female (F),C19+Kidney.Disease,115
8,50-59 years,Female (F),C19+MCVD,404
8,50-59 years,Female (F),C19+Obesity,142
8,50-59 years,Female (F),COVID-19,952
8,50-59 years,Male (M),C19+Chronic.Lower.Resp.Disease,63
8,50-59 years,Male (M),C19+Diabetes,353
8,50-59 years,Male (M),C19+Hypertensive.Diseases,327
8,50-59 years,Male (M),C19+Hypertensive+MCVD,704
8,50-59 years,Male (M),C19+Kidney.Disease,231
8,50-59 years,Male (M),C19+MCVD,704
8,50-59 years,Male (M),C19+Obesity,144
8,50-59 years,Male (M),COVID-19,1649
8,60-69 years,Female (F),C19+Chronic.Lower.Resp.Disease,221
8,60-69 years,Female (F),C19+Diabetes,478
8,60-69 years,Female (F),C19+Hypertensive.Diseases,437
8,60-69 years,Female (F),C19+Hypertensive+MCVD,938
8,60-69 years,Female (F),C19+Kidney.Disease,276
8,60-69 years,Female (F),C19+MCVD,938
8,60-69 years,Female (F),C19+Obesity,209
8,60-69 years,Female (F),COVID-19,2116
8,60-69 years,Male (M),C19+Chronic.Lower.Resp.Disease,259
8,60-69 years,Male (M),C19+Diabetes,752
8,60-69 years,Male (M),C19+Hypertensive.Diseases,690
8,60-69 years,Male (M),C19+Hypertensive+MCVD,1546
8,60-69 years,Male (M),C19+Kidney.Disease,451
8,60-69 years,Male (M),C19+MCVD,1546
8,60-69 years,Male (M),C19+Obesity,198
8,60-69 years,Male (M),COVID-19,3304
8,70-79 years,Female (F),C19+Chronic.Lower.Resp.Disease,343
8,70-79 years,Female (F),C19+Diabetes,679
8,70-79 years,Female (F),C19+Hypertensive.Diseases,702
8,70-79 years,Female (F),C19+Hypertensive+MCVD,1441
8,70-79 years,Female (F),C19+Kidney.Disease,302
8,70-79 years,Female (F),C19+MCVD,1441
8,70-79 years,Female (F),C19+Obesity,156
8,70-79 years,Female (F),COVID-19,3087
8,70-79 years,Male (M),C19+Chronic.Lower.Resp.Disease,490
8,70-79 years,Male (M),C19+Diabetes,956
8,70-79 years,Male (M),C19+Hypertensive.Diseases,1052
8,70-79 years,Male (M),C19+Hypertensive+MCVD,2229
8,70-79 years,Male (M),C19+Kidney.Disease,545
8,70-79 years,Male (M),C19+MCVD,2229
8,70-79 years,Male (M),C19+Obesity,162
8,70-79 years,Male (M),COVID-19,4427
8,80+ years,Female (F),C19+Chronic.Lower.Resp.Disease,575
8,80+ years,Female (F),C19+Diabetes,820
8,80+ years,Female (F),C19+Hypertensive.Diseases,1519
8,80+ years,Female (F),C19+Hypertensive+MCVD,3166
8,80+ years,Female (F),C19+Kidney.Disease,424
8,80+ years,Female (F),C19+MCVD,3166
8,80+ years,Female (F),C19+Obesity,76
8,80+ years,Female (F),COVID-19,6384
8,80+ years,Male (M),C19+Chronic.Lower.Resp.Disease,542
8,80+ years,Male (M),C19+Diabetes,840
8,80+ years,Male (M),C19+Hypertensive.Diseases,1273
8,80+ years,Male (M),C19+Hypertensive+MCVD,2831
8,80+ years,Male (M),C19+Kidney.Disease,532
8,80+ years,Male (M),C19+MCVD,2831
8,80+ years,Male (M),C19+Obesity,35
8,80+ years,Male (M),COVID-19,5426
9,<18 years,Female (F),C19+Chronic.Lower.Resp.Disease,0
9,<18 years,Female (F),C19+Diabetes,1
9,<18 years,Female (F),C19+Hypertensive.Diseases,0
9,<18 years,Female (F),C19+Hypertensive+MCVD,1
9,<18 years,Female (F),C19+Kidney.Disease,0
9,<18 years,Female (F),C19+MCVD,1
9,<18 years,Female (F),C19+Obesity,2
9,<18 years,Female (F),COVID-19,2
9,<18 years,Male (M),C19+Chronic.Lower.Resp.Disease,0
9,<18 years,Male (M),C19+Diabetes,0
9,<18 years,Male (M),C19+Hypertensive.Diseases,0
9,<18 years,Male (M),C19+Hypertensive+MCVD,0
9,<18 years,Male (M),C19+Kidney.Disease,0
9,<18 years,Male (M),C19+MCVD,0
9,<18 years,Male (M),C19+Obesity,0
9,<18 years,Male (M),COVID-19,4
9,18-29 years,Female (F),C19+Chronic.Lower.Resp.Disease,2
9,18-29 years,Female (F),C19+Diabetes,5
9,18-29 years,Female (F),C19+Hypertensive.Diseases,0
9,18-29 years,Female (F),C19+Hypertensive+MCVD,13
9,18-29 years,Female (F),C19+Kidney.Disease,1
9,18-29 years,Female (F),C19+MCVD,13
9,18-29 years,Female (F),C19+Obesity,6
9,18-29 years,Female (F),COVID-19,31
9,18-29 years,Male (M),C19+Chronic.Lower.Resp.Disease,0
9,18-29 years,Male (M),C19+Diabetes,6
9,18-29 years,Male (M),C19+Hypertensive.Diseases,5
9,18-29 years,Male (M),C19+Hypertensive+MCVD,19
9,18-29 years,Male (M),C19+Kidney.Disease,2
